synpic54610|Are regions of the brain infarcted?|Yes
synpic29265|Are the lungs normal appearing?|No
synpic29265|Is there evidence of a pneumothorax|No
synpic28602|What type of imaging does this not represent?|ultrasound
synpic29265|Is this a MRI of the chest?|no
synpic28602|What is not pictured in this image?|The extremities
synpic28602|Is the trachea midline?|yes
synpic28602|Is there evidence of an aortic aneurysm?|No
synpic39460|Where is the abnormality?|left temporal lobe
synpic28602|Is there blunting of the costovertebral angles?|No
synpic42202|Which organ system is abnormal in this image?|Cardiovascular
synpic54610|Where is the pathology in this image?|vasculature
synpic42202|Is there a pneumothorax?|no
synpic54610|What type of imaging is this?|MRI Diffusion Weighted
synpic54610|What organ system is pictured?|the brain
synpic29265|Is there a fracture?|no
synpic39460|Is there swelling of the grey matter?|yes
synpic28602|Is this an anterior posterior image?|no
synpic39460|Is this the brain?|yes
synpic29265|Is there air under the diaphragm?|No
synpic42202|What type of image is this?|Chest X-ray
synpic39460|Is this a CT image?|no
synpic42202|Is this an anterior-posterior image|no
synpic39460|In what plane is this image oriented?|Axial
synpic39460|Is there a skull fracture pictured?|No
synpic21776|Are there > 12 of ribs? |Yes
synpic21776|Is/Are the lungs normal size?|Yes
synpic25821|Is/Are there a rib fracture?|No
synpic25821|'Is/Are there fracturing in the patient's ribs?'|No
synpic25821|Is/Are the lung parenchyma abnormal?|No
synpic25821|Is/Are the lung parenchyma abnormal?|No
synpic26158|was the arterial contrast phase selected?|yes
synpic26158|does this plane of section include the gastric cardia?|yes
synpic34515|'Is/Are there thickening in the patient's small bowel wall?'|Yes
synpic21776|was this taken with good x ray penetration|yes
synpic34713|Are the common ileac arteries and veins patent in this section?|Yes
synpic34713|'Is/Are there patency in the patient's common iliac arteries and veins?'|Yes
synpic34713|Are the common iliac vasculature open?|Yes
synpic34713|'Is/Are there patency in the patient's common iliac vasculature?'|Yes
synpic19605|Is the spleen normal size?|Yes
synpic19605|Is/Are the spleen normal size?|Yes
synpic19605|Is the size of the spleen normal?|Yes
synpic19605|Is/Are the spleen normal size?|Yes
synpic39086|Are there air fluid levels present in the small bowel?|yes
synpic39086|'Is/Are there air fluid levels in the patient's small bowel?'|yes
synpic39086|is there contrast material showing air-fluid levels in the small bowel|yes
synpic39086|'Is/Are there air fluid levels in the patient's small bowel?'|yes
synpic55245|Is/Are the mass located near/in the mid brain?|Yes
synpic55245|Is/Are the mass located near/in the mid brain?|Yes
synpic55245|Is the mass compressing the mid brain on this section?|Yes
synpic55245|'Is there mass compression in the patient's midbrain?'|Yes
synpic55245|Is the mass pushing on the midbrain structures?|Yes
synpic55245|'Is there mass compression in the patient's midbrain?'|Yes
synpic50962|Are brain structures shifted across the midline?|no
synpic50962|Is/Are there midline shift?|no
synpic50962|is there a midline shift of the cerebral parenchyma?|no
synpic50962|Is/Are there midline shift?|no
synpic22967|Is the gallbladder large in size?|No
synpic22967|Is/Are the gallbladder large?|No
synpic22967|Is the gallbladder distended?|No
synpic22967|Is/Are the gallbladder distended?|No
synpic25821|Are there > 8 ribs shown in this image?|Yes
synpic25821|Are there > 8 of the ribs?|Yes
synpic25821|Are there at least 8 ribs visible for good inspiratory effort?|Yes
synpic25821|Are there at least 8 of the ribs?|Yes
synpic34947|is this an image of the cerebellum|yes
synpic50962|Is this a transverse section?|yes
synpic34515|'Is the patient's vertebral body indicative of normal aging?'|Yes
synpic34515|any observed degenerative changes in the vertebral body?|no
synpic34515|'Is/Are there degeneration in the patient's vertebral body?'|no
synpic25534|'Is/Are there obstruction in the patient's small bowel?'|Yes
synpic30324|Is there evidence of herniation of the small bowel into the abdominal wall?|No
synpic30324|'Is/Are there herniation in the patient's small bowel through the abdominal wall?'|No
synpic30324|Is there evidence of an abdominal hernia?|No
synpic30324|'Is/Are there herniation in the patient's small bowel through the abdominal wall?'|No
synpic39088|Are there air-fluid levels present on this CT radiograph?|Yes
synpic39088|'Is/Are there air fluid levels in the patient's bowel?'|Yes
synpic39088|'Is there evidence of air fluid levels in the patient's bowel?'|Yes
synpic39088|'Is/Are there air fluid levels in the patient's bowel?'|Yes
synpic55245|Have brain structures crossed the midline of the brain?|Yes
synpic55245|Is/Are there midline shift?|Yes
synpic55245|Is there evidence of midlight shift of structures on this MRI?|Yes
synpic55245|Is/Are there midline shift?|Yes
synpic21776|was this taken in PA position?|yes
synpic34713|Is there evidence of air in the peritoneum?|Yes
synpic34713|'Is/Are there air in the patient's peritoneum?'|Yes
synpic34713|Is there air in the peritoneal cavity?|Yes
synpic34713|'Is/Are there air in the patient's peritoneal cavity?'|Yes
synpic42245|Are the hilar soft tissue densities symmetric?|no
synpic42245|'Is/Are there symmetry in the patient's hilums?'|no
synpic42245|Are the soft tissue densities in the left hilum equivalent in size to the soft tissue densities in the right hilum?|no
synpic42245|'Is/Are there equivalent size tissues densities in the patient's hilums?'|no
synpic16174|Is the descending aortic silhouette of normal contour?|Yes
synpic16174|Is the descending aortic silhouette of normal contour and size?|Yes
synpic16174|Is there tortuosity of the descending aorta?|Yes
synpic16174|'Is/Are there tortuosity in the patient's aorta?'|Yes
synpic16174|Is the descending aortic silhouette of normal size?|Yes
synpic16174|'Is/Are there tortuosity in the patient's aorta?'|Yes
synpic16174|Is the descending aortic silhouette of normal size?|Yes
